ip,mac,vendor,trusted,manual_override,risk_score,first_seen
192.168.1.1,e0:46:ee:fe:05:07,Unknown,False,False,,2026-02-09T00:37:30.175126+00:00
192.168.1.7,00:e0:4c:55:5f:1a,Unknown,False,False,,2026-02-09T00:37:30.183718+00:00
192.168.1.11,54:bf:64:95:6c:ad,Unknown,False,,,2026-02-08T14:17:51.730985
192.168.1.10,22:d9:98:c8:24:64,Unknown,False,False,,2026-02-09T00:37:30.187838+00:00
192.168.1.9,78:67:0e:7e:1c:fe,Unknown,False,False,,2026-02-09T00:37:30.186234+00:00
192.168.1.21,64:00:6a:02:ee:bd,Unknown,False,False,,2026-02-09T00:37:30.191396+00:00
192.168.1.4,6e:63:67:f0:42:5a,Unknown,False,False,,2026-02-09T00:37:30.180438+00:00
192.168.1.3,10:e7:c6:53:94:c6,Unknown,False,False,,2026-02-09T00:37:30.178283+00:00
192.168.1.2,a0:6a:44:2e:5b:32,Unknown,False,False,,2026-02-09T00:37:30.176565+00:00
192.168.1.20,2c:d9:74:32:bd:d3,Unknown,False,False,,2026-02-09T00:37:30.189966+00:00
192.168.1.32,4e:9a:5d:a4:f2:29,Unknown,False,False,,2026-02-09T00:37:30.192552+00:00
192.168.1.8,1c:45:86:a1:d7:4e,Unknown,False,False,,2026-02-09T00:37:30.184780+00:00
192.168.1.6,aa:aa:e6:8d:6b:c8,Unknown,False,False,,2026-02-09T00:37:30.181471+00:00
192.168.1.5,34:6f:92:38:4d:bf,Unknown,False,,,2026-02-08T20:57:41.731196
192.168.1.26,1c:ce:51:68:96:6d,Unknown,False,,,2026-02-08T21:18:58.975590
192.168.1.14,66:3e:39:a9:2d:b2,Unknown,False,False,,2026-02-09T00:37:30.188962+00:00
172.27.240.1,unknown,Local Host,False,False,,2026-02-08T23:19:41.198594+00:00
